source_family,field_path,sessions_present,session_ids,dtype_shape_variants,pipeline_use,classification,scientific_semantics,notes
BasicMetaData.mat,bmd.Par.nElecGps,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""int64"", ""shape"": []}",not used directly,scientifically_relevant_intentionally_unused,Acquisition/XML duplicate or original multi-file provenance.,
XML,"acquisitionSystem/{nBits,nChannels,samplingRate,voltageRange,amplification,offset}",27,all_27,,see classification,used_by_pipeline,Acquisition geometry and scaling metadata.,
XML,fieldPotentials/lfpSamplingRate,27,all_27,,see classification,used_by_pipeline,LFP sample rate.,
XML,anatomicalDescription/channelGroups,27,all_27,,see classification,used_by_pipeline,Zero-based channel grouping; no textual anatomy labels.,
XML,spikeDetection/channelGroups,27,all_27,,see classification,used_by_pipeline,Zero-based spike-detection channel groups and waveform geometry.,
XML,multiFileProcessing/files/fileBaseName,18,,,see classification,scientifically_relevant_intentionally_unused,Original concatenated recording components.,
XML,"files/file/{extension,samplingRate}",21,,,see classification,potentially_useful_provenance,Additional file sampling-rate metadata.,
XML,"units/unit/{group,cluster,structure,type,isolationDistance,quality,notes}",27,all_27,,see classification,scientifically_relevant_intentionally_unused,All clustered-unit metadata; mostly blank placeholders and not the stable-unit selection source.,
ChannelAnatomy.csv,"row[channel_number,anatomy_label]",27,all_27,,see classification,used_by_pipeline,One-based channel-to-anatomy provenance.,
GoodSleepInterval.mat,GoodSleepInterval.timePairFormat,27,all_27,,see classification,used_by_pipeline,Frozen M3 official analysis constraint in seconds.,
GoodSleepInterval.mat,GoodSleepInterval.intervalSetFormat,27,all_27,,see classification,source_duplicate_not_consumed,TStoolbox duplicate of timePairFormat.,
WSRestrictedIntervals.mat,*TimePairFormat,27,all_27,,see classification,used_by_pipeline,One-second-resolution state intervals in seconds.,
WSRestrictedIntervals.mat,*IntervalSetFormat,27,all_27,,see classification,source_duplicate_not_consumed,TStoolbox duplicate state representation.,
SStable.mat,S_CellFormat,27,all_27,,see classification,used_by_pipeline,Stable-unit spike timestamps in seconds.,
SStable.mat,shank/cellIx/numgoodcells/badcells,27,all_27,,see classification,used_by_pipeline,Local unit ordering and stable-unit provenance.,
CellIDs.mat,"CellIDs.{EAll,IAll,EDefinite,IDefinite,ELike,ILike}",27,all_27,,see classification,scientifically_relevant_intentionally_unused,Stable-unit putative excitatory/inhibitory subtype.,
ClusterQualityMeasures.mat,stability and cluster-quality fields,19,,,see classification,scientifically_relevant_intentionally_unused,Source of stable-unit exclusion; absent as a separate file in 8 sessions but SStable is present.,
EMGCorr.mat,EMGCorr,27,all_27,,see classification,scientifically_relevant_intentionally_unused,2-Hz EMG-tone proxy.,
Motion.mat,motiondata,27,all_27,,see classification,scientifically_relevant_intentionally_unused,Per-second motion; official documentation warns variable reliability.,
Spindles.mat,SpindleData.detectionchan and detected events,27,all_27,,see classification,scientifically_relevant_intentionally_unused,Spindle detector role/channel and event data.,
UPDOWNINtervals.mat,UPchannel and UP/DOWN/ON/OFF/Gamma intervals,27,all_27,,see classification,scientifically_relevant_intentionally_unused,UP-state detector role/channel and events.,
